Cluster,Latitude,Longitude
Center 0,18.3304374351,-66.2398157323
Center 1,21.1322448368,-157.572174234
Center 2,31.5757127339,-82.440120062
Center 3,35.8032019799,-100.90679445
Center 4,35.9444195349,-119.122802855
Center 5,40.9222785839,-74.6075119948
Center 6,42.0779567944,-87.8749713857
Center 7,46.1744693712,-120.967751047
Center 8,51.5194426,-0.150309
Center 9,60.539022701,-143.614838756
